店铺,退款率,最后评论日期,保证金余额,详情链接
携梦旗舰店,无,无,无,https://list.tmall.com/search_shopitem.htm?user_id=2207353087633&cat=2&oq=%D0%AF%C3%CE%C6%EC%BD%A2%B5%EA&ds=1&stype=search
妍俊旗舰店,0.0000%,2020.06.16,"￥49,116.24",https://rate.taobao.com/user-rate-UvCIWOmNLMF8WvGIYMNTT.htm?spm=a1z10.1-b.d4918101.1.55bd25faTUUC9Z
伊宣蔻旗舰店,无,无,无,https://rate.taobao.com/user-rate-UvCIWMC8bOFg4MGQ0vQTT.htm?spm=a1z10.1-b.1997427721.3.52ae37b0sn3m9F
lifespring旗舰店,0.0000%,2020.08.04,"￥50,000.00",https://rate.taobao.com/user-rate-UvCQbMFIWMFQYMWTT.htm?spm=a1z10.1-b.d4918101.1.11196c214afp7S
狄尼亚旗舰店,0.0000%,2020.08.07,"￥50,000.00",https://rate.taobao.com/user-rate-UvCNLMCvWMmvWMQTT.htm?spm=a1z10.1-b.d4918101.1.429a6c830kyiZA
